orgao,url,nome_da_autoridade,endereco,cep,municipio,uf,ddd,telefone,contato
ABGF - Agencia Brasileira Gestora de Fundos Garantidores e Garantias S.A.,http://www.abgf.gov.br/pages/acesso-a-informacao.php,Wagner Efrem de Souza,"SAS Quadra 3, Bloco O, 11º andar - Setor de Autarquias Sul",70079900,Brasília,DF,61,32466203,acessoinformacao@abgf.gov.br
AEB – Agência Espacial Brasileira,http://www.aeb.gov.br/acessoainformacao/,José Iram Mota Barbosa,SPO - Área 5 - Quadra 3 - Bloco A,70610200,Brasília,DF,61,34115606,sic@aeb.gov.br
AGU – Advocacia-Geral da União,http://www.agu.gov.br/Acesso,Francis Christian Alves Scherer Bicca,"SIG Quadra 6, Lote 800, 2° andar, Sala 200",70610460,Brasília,DF,61,20267175,ouvidoriaagu@agu.gov.br
Amazonas Geração e Transmissão de Energia S.A.,http://www.eletrobrasamazonasgt.com,ELISANGELA SILVA DE OLIVEIRA,"Rua Tito Bittencourt, n° 142-São Francisco",69079040,Manaus,AM,92,36328614,esic@eletrobrasamazonasgt.com
AMAZUL - Amazônia Azul Tecnologias de Defesa S.A.,http://www.amazul.gov.br,Charles Magno Medeiros,"Av. Corifeu de Azevedo Marques 1847, Butantã",5581001,São Paulo,SP,11,32061790,secom@amazul.gov.br
AmE – Amazonas Distribuidora de Energia S.A.,http://www.eletrobrasamazonas.com/cms/index.php/acesso-a-informacao/,Marcio Paixão Ribeiro,"Av. Sete de Setembro, 2414, Cachoeirinha",69065170,Manaus,AM,92,21262225,sic@eletrobrasamazonas.com
AN – Arquivo Nacional,http://www.arquivonacional.gov.br,José Levi Mello do Amaral Jr.,"Praça da República, 173, Centro",20211350,Rio de Janeiro,RJ,21,21791349,sic@arquivonacional.gov.br
ANA – Agência Nacional de Águas,http://www.ana.gov.br,Ademar Passos Veiga,Setor Policial Sul - Área 5 - Bloco B - Sala 214,70610200,Brasília,DF,61,21095487,sic@ana.gov.br
ANAC – Agência Nacional de Aviação Civil,http://www.anac.gov.br,Alex Castaldi Romera,Setor Comercial Sul – Quadra 09 – Lote C Edifício Parque Cidade Corporate – Torre A (1º ao 7º andar),70308200,Brasília,DF,61,33144306,sic@anac.gov.br
ANATEL – Agência Nacional de Telecomunicações,http://www.anatel.gov.br/Portal/exibirPortalInternet.do,Carlos Manoel Baigorri,"Setor de Autarquias Sul - SAUS - Quadra 6 - Blocos E, F e H - Brasília - DF",70070904,Brasília,DF,61,23122082,gestorsic@anatel.gov.br
ANCINE – Agência Nacional do Cinema,http://www.ancine.gov.br,Ricardo Alves Vieira Martins,"Avenida Graça Aranha, 35, 11º andar, Centro",20030002,Rio de Janeiro,RJ,21,30376330,sic@ancine.gov.br
ANEEL – Agência Nacional de Energia Elétrica,http://www.aneel.gov.br,Alexandre de Sousa Carvalho Gouveia,"SGAN Quadra 603, Módulos ""I"" e ""J""",70830110,Brasília,DF,61,21928601,e-sic@aneel.gov.br
ANM - Agência Nacional de Mineração,http://www.dnpm.gov.br,Paulo Ribeiro de Santana,SAN Quadra 01,70041903,Brasília,DF,61,33126996,ouvidoria@dnpm.gov.br
"ANP – Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",http://www.anp.gov.br/acessoainformacao,ANDRÉ GISERMAN,"AV. RIO BRANCO, 65, 22º ANDAR",20090004,Rio de Janeiro,RJ,21,21128158,sic@anp.gov.br
ANS – Agência Nacional de Saúde Suplementar,http://www.ans.gov.br/acessoainformacao,Lenise Barcellos de Mello Secchin,"Avenida Augusto Severo, 84, 9º andar, Glória",20021040,Rio de Janeiro,RJ,21,21050011,sic@ans.gov.br
ANTAQ – Agência Nacional de Transportes Aquaviários,http://www.antaq.gov.br/acessoainformacao/,Joelma Maria Costa Barbosa,"SEPN - Quadra 514 - Conjunto ""E"" - Edifício ANTAQ",70760545,Brasília,DF,61,20296590,sic@antaq.gov.br
ANTT – Agência Nacional de Transportes Terrestres,http://www.antt.gov.br/,Cesar Augusto Santiago Dias,"Setor de Clubes Esportivos Sul - SCES, lote 10, trecho 03, Projeto Orla Polo 8",70200003,Brasília,DF,61,34101400,sic@antt.gov.br
ANVISA – Agência Nacional de Vigilância Sanitária,http://portal.anvisa.gov.br/wps/portal/anvisa/anvisa/transparencia,Maria Leopoldina Malta de Sá Brandão,"Setor de Indústria e Abastecimento (SIA) - Trecho 5, Área Especial 57",71205050,Brasília,DF,61,34624373,esic@anvisa.gov.br
BACEN – Banco Central do Brasil,http://www.bcb.gov.br/acessoainformacao,Aloisio Tupinamba Gomes Neto,SBS QUADRA 03 BLOCO B ED. SEDE BRASILIA 3º Andar,70074900,Brasília,DF,61,34142793,sic@bcb.gov.br
BASA – Banco da Amazônia S.A.,http://www.bancoamazonia.com.br/acessoainformacao/,Luis Petrônio Nunes aguiar,"AV. PRESIDENTE VARGAS,800 - CAMPINAS",66017901,Belém,PA,91,40083526,sic@bancoamazonia.com.br
BB – Banco do Brasil S.A.,http://www.bb.com.br/acessoainformacao,José Eduardo Moreira Bergo,"SAUN s/n, Ed. BB, Torre Central, 14 andar",70040912,Brasília,DF,61,31024100,sic@bb.com.br
BB Tecnologia e Serviços,http://www.bbtecno.com.br,Érica Gomes dos Santos,"Estrada dos Bandeirantes, 7966.",22783110,Rio de Janeiro,RJ,21,24089665,sic@bbtecno.com.br
BBTur Viagens e Turismo Ltda,"http://www.bb.com.br/pbb/s001t015p001,503965,504506,1,1,1,1,b.bb#/",Edmilson Santana da Costa,"SBS, Quadra 2, bloco N, 12º andar - Ed. Sede II",70070120,Brasília,DF,61,32186352,sic@bbtur.com.br
BNB – Banco do Nordeste do Brasil S.A.,http://www.bnb.gov.br/acesso-a-informacao,Nicola Moreira Miccione,"Avenida Dr. Silas Munguba, 5700, Bloco C1 Superior - Passaré",60743902,Fortaleza,CE,85,32993540,sic@bnb.gov.br
BNDES – Banco Nacional de Desenvolvimento Econômico e Social,https://www.bndes.gov.br/wps/portal/site/home,Helena Tenório Veiga de Almeida,"Av. República do Chile, 100, 22º andar - Centro",20031917,Rio de Janeiro,RJ,21,37476890,sic@bndes.gov.br
BVEnergia – Boa Vista Energia S.A.,http://www.eletrobraroraima.com/internet/acesso-a-informacao/,Joaquim Roberto Rodrigues Moreira,"Avenida Capitão Ene Garcês, 691, Centro",69311160,Boa Vista,RR,95,21211407,sic@eletrobrasroraima.com
CADE – Conselho Administrativo de Defesa Econômica,http://www.cade.gov.br,Ana Luiza Lima Mahon,"SEPN 515 Conjunto D, Lote 4, Ed. Carlos Taurisano",70770504,Brasília,DF,61,32218405,sic@cade.gov.br
CAPES – Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,http://www.capes.gov.br/Acesso,FABIANA SANTOS PEREIRA,SBN Quadra 02 Loco L Lote 06 5º andar Asa Norte,70040020,Brasília,DF,61,20226209,sic@capes.gov.br
CASEMG – Companhia de Armazéns e Silos do Estado de Minas Gerais,http://www.casemg.com.br,VANDA LÚCIA BATISTA,"Rua dos Goitacazes, 15 - 8º andar - Centro  Belo Horizonte",30190050,Belo Horizonte,MG,31,35198920,vanda.batista@casemg.gov.br
CBPF – Centro Brasileiro de Pesquisas Físicas,http://www.cbpf.br/acessoainformacao,Márcio Portes de Albuquerque,"R. Dr. Xavier Sigaud, 150",22290180,Rio de Janeiro,RJ,21,21417417,sic@cbpf.br
CBTU – Companhia Brasileira de Trens Urbanos,http://www.cbtu.gov.br/acessoainformacao/acessoainformacao.htm,Fabricio Marchito Mendes,"Pça. Procópio Ferreira, 86, 5º andar - Centro",20221901,Rio de Janeiro,RJ,21,37333263,sic@cbtu.gov.br
CC-PR – Casa Civil da Presidência da República,http://www.planalto.gov.br/acessoainformacao,Giovana Dias da Costa,"Palácio do Planalto, Anexo I Ala ""A"" Sala 101",70150900,Brasília,DF,61,34111791,sicplanalto@presidencia.gov.br
